country,avg_points,avg_price
Argentina,88.857142857142861,25.168145331643395
Australia,92.0,35.230082417582409
Austria,94.0,31.468108707709373
Chile,89.4,20.5626865671641
France,92.578313253012055,41.347070781740804
Germany,92.857142857142861,41.889941690962146
Italy,93.687499999999986,39.411296509397793
New Zealand,91.0,27.094688221709024
Portugal,93.8,25.884029158383068
South Africa,90.5,24.947624847746635
Spain,89.999999999999986,28.131865413161783
US,92.96875,36.690098863803982
