country,avg_points,avg_price
Argentina,86.920997042670379,25.168145331643395
Australia,88.660714285714292,35.230082417582409
Austria,90.352745424292763,31.468108707709373
Brazil,85.206896551724114,24.137931034482762
Bulgaria,88.147727272727266,14.886363636363635
Canada,89.602339181286581,36.578947368421048
Chile,86.513432835821064,20.5626865671641
Croatia,87.314285714285731,26.028571428571436
Czech Republic,87.181818181818187,24.272727272727273
England,91.651162790697654,52.069767441860449
France,88.718351506190373,41.347070781740804
Georgia,87.37254901960786,20.352941176470594
Germany,89.879008746355652,41.889941690962146
Greece,87.224137931034534,22.175862068965518
Hungary,88.999999999999957,37.950495049504951
Israel,88.670033670033675,31.47811447811447
Italy,88.5730724971228,39.411296509397793
Lebanon,88.500000000000014,34.227272727272727
Mexico,84.959183673469383,25.061224489795915
Moldova,87.228571428571442,15.628571428571423
Morocco,88.649999999999991,18.4
New Zealand,88.248267898383446,27.094688221709024
Portugal,88.359840954274361,25.884029158383068
Romania,86.319444444444457,15.916666666666666
Slovenia,87.844444444444449,25.844444444444445
South Africa,87.90012180267972,24.947624847746635
Spain,87.370608609599245,28.131865413161783
Turkey,88.442307692307708,25.019230769230774
US,88.586896857016242,36.690098863803982
Uruguay,87.092592592592609,26.351851851851848
